OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,City,F5__Fully_Vaccinated,Population_5__,F5__Pop_Vaccinated___,Cases,Case_rate,Deaths,Death_rate,Date
1,47,City,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,LA City,10341801.58,13122.60327,Los Angeles,"5,432","7,720",70.4,2749,33516,18,219,1/3
2,48,City,Los Angeles,Alsace,Los Angeles - Alsace,LA City,17348594.18,20258.23178,Los Angeles,"7,870","11,580",68,3836,30824,23,185,
3,49,City,Los Angeles,Angeles National Forest,Los Angeles - Angeles National Forest,LA City,151134792.7,102981.6802,Los Angeles,10,38,26.3,6,15000,0,0,
4,50,City,Los Angeles,Angelino Heights,Los Angeles - Angelino Heights,LA City,4179683.234,10403.78963,Los Angeles,"1,726","2,381",72.5,693,27698,8,320,
5,51,City,Los Angeles,Arleta,Los Angeles - Arleta,LA City,79641922.66,41395.48491,Los Angeles,"25,202","32,212",78.2,14379,41836,134,390,
6,52,City,Los Angeles,Atwater Village,Los Angeles - Atwater Village,LA City,64926574.45,66563.72469,Los Angeles,"11,490","14,498",79.3,3974,27097,35,239,
7,53,City,Los Angeles,Baldwin Hills,Los Angeles - Baldwin Hills,LA City,72396942.77,51824.31601,Los Angeles,"19,129","29,137",65.7,8211,26381,111,357,
8,54,City,Los Angeles,Bel Air,Los Angeles - Bel Air,LA City,186580221,76705.3974,Los Angeles,"6,237","8,062",77.4,1842,21853,6,71,
9,55,City,Los Angeles,Beverly Crest,Los Angeles - Beverly Crest,LA City,234233281.1,110820.5485,Los Angeles,"9,483","11,921",79.5,2788,22259,9,72,
10,56,City,Los Angeles,Beverlywood,Los Angeles - Beverlywood,LA City,29915304.19,33551.26574,Los Angeles,"9,686","12,224",79.2,3463,26289,4,30,
11,57,City,Los Angeles,Boyle Heights,Los Angeles - Boyle Heights*,LA City,144046936.6,59921.34093,Los Angeles,"60,270","80,696",74.7,34785,40036,372,428,
12,58,City,Los Angeles,Brentwood,Los Angeles - Brentwood,LA City,257124249.7,101595.1391,Los Angeles,"23,699","29,416",80.6,6806,21987,27,87,
13,59,City,Los Angeles,Brookside,Los Angeles - Brookside,LA City,2854060.81,7539.256054,Los Angeles,522,515,≥ 95,118,20310,2,344,
14,60,City,Los Angeles,Cadillac-Corning,Los Angeles - Cadillac-Corning,LA City,6719564.082,10707.14703,Los Angeles,"4,615","6,706",68.8,2008,28198,14,197,
15,61,City,Los Angeles,Canoga Park,Los Angeles - Canoga Park,LA City,128293030.2,57957.64965,Los Angeles,"44,935","61,398",73.2,21463,32874,209,320,
16,62,City,Los Angeles,Carthay,Los Angeles - Carthay,LA City,27646587.86,26826.35352,Los Angeles,"10,793","13,808",78.2,3412,23755,90,627,
17,63,City,Los Angeles,Central,Los Angeles - Central,LA City,41716624.38,32538.08902,Los Angeles,"21,912","36,055",60.8,15345,39354,159,408,
18,64,City,Los Angeles,Century City,Los Angeles - Century City,LA City,32256016.23,23918.20408,Los Angeles,"10,769","12,104",89,2853,22303,15,117,
19,65,City,Los Angeles,Century Palms/Cove,Los Angeles - Century Palms/Cove,LA City,57881661.84,33546.22427,Los Angeles,"19,477","31,138",62.6,13983,41411,133,394,
20,66,City,Los Angeles,Chatsworth,Los Angeles - Chatsworth,LA City,293130093.9,76897.51018,Los Angeles,"28,131","35,648",78.9,10343,27908,121,326,
21,67,City,Los Angeles,Cheviot Hills,Los Angeles - Cheviot Hills,LA City,48358745.71,32289.47564,Los Angeles,"7,871","8,668",90.8,2008,21895,10,109,
22,68,City,Los Angeles,Chinatown,Los Angeles - Chinatown,LA City,11187362.54,14754.46111,Los Angeles,"6,210","8,137",76.3,2214,27603,20,249,
23,69,City,Los Angeles,Cloverdale/Cochran,Los Angeles - Cloverdale/Cochran,LA City,24119180.52,24448.58584,Los Angeles,"9,805","13,759",71.3,4361,29966,30,206,
24,70,City,Los Angeles,Country Club Park,Los Angeles - Country Club Park,LA City,26965076.86,22568.78083,Los Angeles,"10,969","14,429",76,3981,26272,89,587,
25,71,City,Los Angeles,Crenshaw District,Los Angeles - Crenshaw District,LA City,32980853.87,26081.4742,Los Angeles,"9,521","13,089",72.7,4342,31398,47,340,
26,72,City,Los Angeles,Crestview,Los Angeles - Crestview,LA City,21739226.06,21651.95076,Los Angeles,"7,963","10,523",75.7,3187,28035,52,457,
27,73,City,Los Angeles,Del Rey,Los Angeles - Del Rey,LA City,65322148.71,45191.74149,Los Angeles,"21,839","28,400",76.9,6829,22812,43,144,
28,74,City,Los Angeles,Downtown,Los Angeles - Downtown*,LA City,57995830.85,44343.9135,Los Angeles,"32,291","34,383",93.9,13112,47668,68,247,
29,75,City,Los Angeles,Eagle Rock,Los Angeles - Eagle Rock,LA City,128941728.5,59900.47194,Los Angeles,"28,680","37,629",76.2,10661,26929,149,376,
30,76,City,Los Angeles,East Hollywood,Los Angeles - East Hollywood,LA City,30724903.45,22876.42826,Los Angeles,"18,938","27,791",68.1,7893,26951,155,529,
31,77,City,Los Angeles,Echo Park,Los Angeles - Echo Park,LA City,27755067.78,26540.21669,Los Angeles,"10,079","13,751",73.3,3741,26242,26,182,
32,78,City,Los Angeles,El Sereno,Los Angeles - El Sereno,LA City,109050969.5,57287.73309,Los Angeles,"28,646","39,489",72.5,14239,34058,141,337,
33,79,City,Los Angeles,Elysian Park,Los Angeles - Elysian Park,LA City,48791230.75,39718.04752,Los Angeles,"4,457","5,480",81.3,1506,26366,6,105,
34,80,City,Los Angeles,Elysian Valley,Los Angeles - Elysian Valley,LA City,26846913.17,53961.13855,Los Angeles,"7,040","9,552",73.7,2990,29397,33,324,
35,81,City,Los Angeles,Encino,Los Angeles - Encino,LA City,394357958.5,104094.971,Los Angeles,"35,253","42,850",82.3,11990,26543,92,204,
36,82,City,Los Angeles,Exposition,Los Angeles - Exposition,LA City,9822071.755,13747.78796,Los Angeles,"2,432","3,140",77.5,1060,31870,8,241,
37,83,City,Los Angeles,Exposition Park,Los Angeles - Exposition Park,LA City,70838884.83,41975.37894,Los Angeles,"28,808","42,412",67.9,15354,34183,107,238,
38,84,City,Los Angeles,Faircrest Heights,Los Angeles - Faircrest Heights,LA City,13095367.1,16164.86689,Los Angeles,"2,798","3,392",82.5,1001,27806,6,167,
39,85,City,Los Angeles,Figueroa Park Square,Los Angeles - Figueroa Park Square,LA City,19926425.97,21605.5238,Los Angeles,"5,491","8,298",66.2,3173,36383,38,436,
40,86,City,Los Angeles,Florence-Firestone,Los Angeles - Florence-Firestone,LA City,70535922.82,41435.66923,Los Angeles,"29,006","43,540",66.6,20191,42557,156,329,
41,87,City,Los Angeles,Glassell Park,Los Angeles - Glassell Park,LA City,84747797.68,50207.83193,Los Angeles,"22,280","29,891",74.5,8894,28142,71,225,
42,88,City,Los Angeles,Gramercy Place,Los Angeles - Gramercy Place,LA City,31930657.15,26453.62588,Los Angeles,"7,303","10,281",71,3394,31531,42,390,
43,89,City,Los Angeles,Granada Hills,Los Angeles - Granada Hills,LA City,438839286.4,95212.57164,Los Angeles,"42,841","55,642",77,17615,30271,253,435,
44,90,City,Los Angeles,Green Meadows,Los Angeles - Green Meadows,LA City,34198719.06,23950.87424,Los Angeles,"13,202","19,559",67.5,8868,41237,64,298,
45,91,City,Los Angeles,Hancock Park,Los Angeles - Hancock Park,LA City,57323010.27,35841.96077,Los Angeles,"13,138","16,089",81.7,3849,22589,11,65,
46,92,City,Los Angeles,Harbor City,Los Angeles - Harbor City,LA City,127256590.7,68831.77366,Los Angeles,"19,466","27,369",71.1,7634,26261,51,175,
47,93,City,Los Angeles,Harbor Gateway,Los Angeles - Harbor Gateway,LA City,141213773,114745.3338,Los Angeles,"28,291","40,857",69.2,13069,29975,103,236,
48,94,City,Los Angeles,Harbor Pines,Los Angeles - Harbor Pines,LA City,6698248.105,11530.72481,Los Angeles,"1,637","2,274",72,496,20589,3,125,
49,95,City,Los Angeles,Harvard Heights,Los Angeles - Harvard Heights,LA City,20898421.75,21077.38571,Los Angeles,"11,595","16,949",68.4,5417,30036,80,444,
50,96,City,Los Angeles,Harvard Park,Los Angeles - Harvard Park,LA City,63107483.26,34432.91118,Los Angeles,"25,211","35,518",71,15613,41157,130,343,
51,97,City,Los Angeles,Highland Park,Los Angeles - Highland Park,LA City,84518883.52,56286.55525,Los Angeles,"32,278","45,484",71,14169,29280,140,289,
52,98,City,Los Angeles,Historic Filipinotown,Los Angeles - Historic Filipinotown,LA City,16690240.02,21157.18711,Los Angeles,"9,328","13,153",70.9,4578,33006,92,663,
53,99,City,Los Angeles,Hollywood,Los Angeles - Hollywood,LA City,123731154.3,77997.13798,Los Angeles,"47,060","66,099",71.2,17840,26138,115,168,
54,100,City,Los Angeles,Hollywood Hills,Los Angeles - Hollywood Hills,LA City,196518166.6,87422.55605,Los Angeles,"21,682","28,239",76.8,6136,20847,31,105,
55,101,City,Los Angeles,Hyde Park,Los Angeles - Hyde Park,LA City,56911382.92,38424.7682,Los Angeles,"18,711","26,734",70,9829,34438,113,396,
56,102,City,Los Angeles,Jefferson Park,Los Angeles - Jefferson Park,LA City,12565603.55,14198.76419,Los Angeles,"5,334","7,564",70.5,2699,33432,22,273,
57,103,City,Los Angeles,Koreatown,Los Angeles - Koreatown,LA City,40641749.62,28508.35535,Los Angeles,"35,705","49,522",72.1,13892,26874,151,292,
