OBJECTID,ZIPCODE,Percent_,LowerCL,UpperCL,Population,Shape__Area,Shape__Length
1,90001,9.2,6,12.4,41800,95563401.8857422,48677.2785610168
2,90002,10.4,6.6,14.2,37900,82752224.2978516,44972.0171108108
3,90003,9.3,5.8,12.8,40900,102643123.491211,63303.481866108
4,90004,9.9,6.7,13.1,48100,83956967.5087891,52471.8977237524
5,90005,10.1,6.4,13.7,31600,36897792.4990234,88445.0018972521
6,90006,11.3,6.3,16.2,38400,53707686.5654297,37830.4179358462
7,90007,7.3,5.1,9.5,31900,68592062.2363281,57884.2331450721
8,90008,12.2,7.7,16.6,26700,106644565.649414,59093.4187828963
9,90010,12.1,7.2,17,8400,4543137.06445313,41839.00052879
10,90011,6.9,3.8,10.1,70500,119579543.422852,57120.064768486
11,90012,12.1,7.9,16.4,16600,98960500.2294922,55948.3515004274
12,90013,7.6,4.3,10.8,11800,16870839.2626953,25060.7493489812
13,90014,,,,1900,7917526.09277344,14875.2953088634
14,90015,8.4,5.2,11.6,16900,46602624.4726563,37381.5865505897
15,90016,12.4,9.2,15.6,37800,103266622.193359,57294.1452742735
16,90017,6.2,3.1,9.2,22000,19807345.0761719,24579.7270354598
17,90018,13.9,9.7,18,37700,83025066.0732422,44601.2750506757
18,90019,10.2,6.9,13.6,48100,106758472.319336,66607.6627425018
19,90020,10.5,7,14,27700,32961671.9248047,41832.3993440677
20,90021,10.2,5.5,15,2600,57382616.9697266,38396.7681731159
21,90023,10.2,7.6,12.8,32300,159187491.179688,78312.7634839568
22,90024,3.5,2.2,4.9,34900,81821002.8193359,59099.3694561489
23,90025,5,3.2,6.9,37333,69502027.9511719,61701.2033276344
24,90026,9.2,6.2,12.1,56100,114071667.723633,65681.0691020727
25,90027,7,4.6,9.5,35700,240682383.553711,80042.7031410475
26,90028,8.9,5,12.8,26300,43287308.1162109,40223.5212100881
27,90029,12.1,7,17.3,30300,39819876.1806641,35471.1945445837
28,90031,12.2,7.8,16.7,29300,106239041.625,79588.4119946168
29,90032,13.7,10.2,17.1,33300,140227856.530273,66300.1500728732
30,90033,10.6,6.8,14.4,32500,85104880.6943359,45641.6022256483
31,90034,6.2,4.2,8.2,50300,86401301.3076172,56671.5730909411
