OBJECTID_1,ZIPCODE,Percent_,LowerCL,UpperCL,Population,Shape__Area,Shape__Length
1,90001,38.2,31.7,44.7,41800,95563401.8857422,48677.2785610168
2,90002,39.7,31.7,47.7,37900,82752224.2978516,44972.0171108108
3,90003,39.3,30.8,47.8,40900,102643123.491211,63303.481866108
4,90004,20.2,15.6,24.8,48100,83956967.5087891,52471.8977237524
5,90005,18.7,12.9,24.4,31600,36897792.4990234,88445.0018972521
6,90006,23.7,17.5,29.9,38400,53707686.5654297,37830.4179358462
7,90007,21.5,14.8,28.1,31900,68592062.2363281,57884.2331450721
8,90008,37.2,29,45.4,26700,106644565.649414,59093.4187828963
9,90010,13.7,7.9,19.5,8400,4543137.06445313,41839.00052879
10,90011,35.5,26.8,44.2,70500,119579543.422852,57120.064768486
11,90012,15.2,11,19.3,16600,98960500.2294922,55948.3515004274
12,90013,,,,11800,16870839.2626953,25060.7493489812
13,90014,,,,1900,7917526.09277344,14875.2953088634
14,90015,21.8,15.5,28,16900,46602624.4726563,37381.5865505897
15,90016,35.5,29.3,41.8,37800,103266622.193359,57294.1452742735
16,90017,18.1,8.9,27.2,22000,19807345.0761719,24579.7270354598
17,90018,35.3,28.3,42.3,37700,83025066.0732422,44601.2750506757
18,90019,25.3,19.8,30.9,48100,106758472.319336,66607.6627425018
19,90020,16.4,11.8,21.1,27700,32961671.9248047,41832.3993440677
20,90021,26.1,17.1,35.1,2600,57382616.9697266,38396.7681731159
21,90023,33.7,28.1,39.4,32300,159187491.179688,78312.7634839568
22,90024,10.6,6.5,14.7,34900,81821002.8193359,59099.3694561489
23,90025,17.1,12.3,21.8,37333,69502027.9511719,61701.2033276344
24,90026,21.5,16.7,26.3,56100,114071667.723633,65681.0691020727
25,90027,17.3,12.7,21.9,35700,240682383.553711,80042.7031410475
26,90028,19.8,13.6,26,26300,43287308.1162109,40223.5212100881
27,90029,21.7,16.3,27.2,30300,39819876.1806641,35471.1945445837
28,90031,25.1,19.3,30.9,29300,106239041.625,79588.4119946168
29,90032,29.4,24.3,34.5,33300,140227856.530273,66300.1500728732
30,90033,29.1,22.6,35.6,32500,85104880.6943359,45641.6022256483
31,90034,21.2,16.1,26.3,50300,86401301.3076172,56671.5730909411
32,90035,19.3,14.8,23.8,22400,57209188.6298828,43983.5857328013
33,90036,16.8,11.6,22,30500,69593162.2822266,41354.9817222774
34,90037,37.3,28.4,46.3,45500,81432299.0292969,48129.4289816606
35,90038,22.9,17.6,28.2,22800,42456299.7392578,39784.5574513761
36,90039,21.5,15.7,27.3,22800,113014223.59375,69937.0605590244
37,90041,20.4,15.4,25.4,20500,98934408.8085938,68444.4621726539
38,90042,26.2,20.7,31.6,46900,126051522.908203,69418.5082699374
39,90043,37.8,31.4,44.2,36100,113286768.980469,57259.1341202225
40,90044,37.5,32,43,69300,139674730.50293,82316.2279162757
41,90045,19.9,15.8,24,29000,305820019.938477,98726.5984903535
42,90046,18.4,13.3,23.4,43200,157746549.730469,86575.3784053739
43,90047,39.7,34.5,44.8,39300,134213046.453125,77331.5933646227
44,90048,16.4,11,21.9,19900,51266833.6318359,42281.1638397508
45,90049,12.6,8.8,16.4,29800,426414821.358398,132308.722633224
46,90056,30.6,24.3,37,7500,43781555.6914063,37127.5538425284
47,90057,20.1,13.4,26.7,32300,25909144.4472656,26195.1163094174
48,90058,31.9,25.3,38.5,2200,131647588.349609,92632.0106386233
49,90059,39.9,32.3,47.4,26000,93173261.5097656,66238.8085532025
50,90061,40.1,32.6,47.5,19000,76611436.2314453,52266.3488602104
51,90062,40.1,32.1,48.1,25000,52544723.7705078,36684.7935879974
52,90063,34.8,30,39.7,39000,93436930.6894531,54052.1391582623
53,90064,16.3,12.1,20.6,23800,110414356.612305,65690.7877777499
54,90065,25.4,19.9,30.9,36400,145389928.853516,83157.7027130342
55,90066,20,15.1,25,45900,139512530.853516,69889.1613185751
56,90067,11.6,7.1,16.1,2500,10353516.0048828,15765.2814966667
57,90068,13.8,9.6,18,21400,205592865.569336,86280.1696662495
58,90069,18.7,12.4,25.1,19800,60101434.3837891,45167.3259067018
59,90071,,,,0,4040733.45898438,8750.62082251514
60,90077,14.3,8.3,20.3,8400,201734548.100586,90139.7123340942
61,90094,16.6,11.6,21.5,6500,33728277.9541016,49434.5997592297
62,90210,17.2,14.1,20.3,18400,302058173.730469,107987.132101154
63,90211,18.9,14.4,23.3,6700,19584945.1220703,24391.043821136
64,90212,16.5,12,20.9,10400,25163960.3144531,25920.4868157283
65,90230,20.9,16.3,25.4,24900,120572532.961914,66927.6293517493
66,90232,20,15.6,24.4,14900,62235268.2353516,57013.5975064001
67,90245,21.7,17,26.3,13800,152778227.499023,57324.7825877465
68,90247,29.2,25,33.3,35500,103625460.833984,61356.4989797149
69,90248,28.4,24.6,32.2,8500,130974604.589844,92105.6668219036
70,90272,14.7,7.6,21.7,19400,677611377.24707,140439.520550553
